Date,Close
May-15-2020,1756.30
May-14-2020,1740.90
May-13-2020,1716.40
May-12-2020,1706.80
May-11-2020,1698.00
May-08-2020,1713.90
May-07-2020,1725.80
May-06-2020,1688.50
May-05-2020,1710.60
May-04-2020,1713.30
May-01-2020,1700.90
Apr-30-2020,1694.20
Apr-29-2020,1713.40
Apr-28-2020,1722.20
Apr-27-2020,1723.80
Apr-24-2020,1735.60
Apr-23-2020,1745.40
Apr-22-2020,1738.30
Apr-21-2020,1687.80
Apr-20-2020,1711.20
Apr-17-2020,1698.80
Apr-16-2020,1731.70
Apr-15-2020,1740.20
Apr-14-2020,1768.90
Apr-13-2020,1761.40
Apr-10-2020,1740.60
Apr-09-2020,1752.80
Apr-08-2020,1684.30
Apr-07-2020,1683.70
Apr-06-2020,1693.90
Apr-03-2020,1645.70
Apr-02-2020,1637.70
Apr-01-2020,1591.40
Mar-31-2020,1596.60
Mar-30-2020,1643.20
Mar-27-2020,1654.10
Mar-26-2020,1660.30
Mar-25-2020,1634.30
Mar-24-2020,1663.30
Mar-23-2020,1572.70
Mar-20-2020,1488.10
Mar-19-2020,1482.30
Mar-18-2020,1480.60
Mar-17-2020,1528.10
Mar-16-2020,1488.60
Mar-13-2020,1519.50
Mar-12-2020,1593.20
Mar-11-2020,1645.40
Mar-10-2020,1663.30
Mar-09-2020,1678.60
Mar-06-2020,1676.10
Mar-05-2020,1672.00
Mar-04-2020,1647.20
Mar-03-2020,1648.90
Mar-02-2020,1599.50
Feb-28-2020,1571.80
Feb-27-2020,1648.20
Feb-26-2020,1648.90
Feb-25-2020,1655.80
Feb-24-2020,1682.40
Feb-21-2020,1654.60
Feb-20-2020,1626.20
Feb-19-2020,1617.50
Feb-18-2020,1609.30
Feb-17-2020,1587.05
Feb-16-2020,1586.25
Feb-14-2020,1591.90
Feb-13-2020,1584.50
Feb-12-2020,1577.30
Feb-11-2020,1575.90
Feb-10-2020,1585.40
Feb-07-2020,1579.20
Feb-06-2020,1575.80
Feb-05-2020,1568.70
Feb-04-2020,1561.40
Feb-03-2020,1588.30
Jan-31-2020,1593.80
Jan-30-2020,1595.10
Jan-29-2020,1582.00
Jan-28-2020,1581.70
Jan-27-2020,1589.50
Jan-24-2020,1583.90
Jan-23-2020,1577.30
Jan-22-2020,1568.70
Jan-21-2020,1569.90
Jan-20-2020,1561.25
Jan-19-2020,1557.05
Jan-17-2020,1572.30
Jan-16-2020,1562.20
Jan-15-2020,1565.60
Jan-14-2020,1556.50
Jan-13-2020,1562.70
Jan-10-2020,1572.10
Jan-09-2020,1566.40
Jan-08-2020,1572.30
Jan-07-2020,1586.30
Jan-06-2020,1580.90
Jan-03-2020,1564.50
Jan-02-2020,1540.10
Jan-01-2020,1520.95
Dec-31-2019,1535.10
Dec-30-2019,1530.30
Dec-27-2019,1529.70
Dec-26-2019,1525.70
Dec-25-2019,1504.05
Dec-24-2019,1516.00
Dec-23-2019,1499.90
Dec-20-2019,1492.00
Dec-19-2019,1495.50
Dec-18-2019,1489.90
Dec-17-2019,1491.90
Dec-16-2019,1491.60
Dec-13-2019,1492.30
Dec-12-2019,1483.10
Dec-11-2019,1485.80
Dec-10-2019,1478.80
Dec-09-2019,1475.60
Dec-06-2019,1475.80
Dec-05-2019,1493.60
Dec-04-2019,1490.60
Dec-03-2019,1494.80
Dec-02-2019,1479.40
Nov-29-2019,1483.20
Nov-28-2019,1462.25
Nov-27-2019,1471.10
Nov-26-2019,1477.80
Nov-25-2019,1474.70
Nov-22-2019,1481.20
Nov-21-2019,1481.10
Nov-20-2019,1491.50
Nov-19-2019,1491.70
Nov-18-2019,1489.20
Nov-15-2019,1485.70
Nov-14-2019,1490.50
Nov-13-2019,1480.40
Nov-12-2019,1470.70
Nov-11-2019,1474.20
Nov-08-2019,1480.00
Nov-07-2019,1483.60
Nov-06-2019,1510.50
Nov-05-2019,1500.90
Nov-04-2019,1528.40
Nov-01-2019,1528.40
Oct-31-2019,1531.30
Oct-30-2019,1513.60
Oct-29-2019,1507.50
Oct-28-2019,1512.80
Oct-25-2019,1522.20
Oct-24-2019,1521.30
Oct-23-2019,1512.20
Oct-22-2019,1503.90
Oct-21-2019,1504.60
Oct-18-2019,1510.40
Oct-17-2019,1515.10
Oct-16-2019,1510.80
Oct-15-2019,1500.40
Oct-14-2019,1514.40
Oct-11-2019,1505.40
Oct-10-2019,1517.90
Oct-09-2019,1529.70
Oct-08-2019,1520.70
Oct-07-2019,1521.10
Oct-04-2019,1529.40
Oct-03-2019,1530.10
Oct-02-2019,1524.60
Oct-01-2019,1505.60
Sep-30-2019,1489.80
Sep-27-2019,1523.30
Sep-26-2019,1532.00
Sep-25-2019,1528.90
Sep-24-2019,1557.10
Sep-23-2019,1548.50
Sep-20-2019,1532.00
Sep-19-2019,1523.20
Sep-18-2019,1532.80
Sep-17-2019,1530.50
Sep-16-2019,1528.70
Sep-13-2019,1517.00
Sep-12-2019,1524.50
Sep-11-2019,1520.00
Sep-10-2019,1515.80
Sep-09-2019,1527.60
Sep-06-2019,1531.50
Sep-05-2019,1541.30
Sep-04-2019,1576.20
Sep-03-2019,1571.90
Sep-02-2019,1535.15
Sep-01-2019,1538.05
Aug-30-2019,1545.50
Aug-29-2019,1552.60
Aug-28-2019,1564.50
Aug-27-2019,1567.20
Aug-26-2019,1552.10
Aug-23-2019,1552.50
Aug-22-2019,1523.40
Aug-21-2019,1530.40
Aug-20-2019,1530.40
Aug-19-2019,1526.20
Aug-16-2019,1538.20
Aug-15-2019,1545.90
Aug-14-2019,1542.90
Aug-13-2019,1529.30
Aug-12-2019,1532.00
Aug-09-2019,1523.30
Aug-08-2019,1524.00
Aug-07-2019,1533.60
Aug-06-2019,1498.60
Aug-05-2019,1491.00
Aug-02-2019,1472.90
Aug-01-2019,1448.40
Jul-31-2019,1453.70
Jul-30-2019,1457.70
Jul-29-2019,1449.20
Jul-26-2019,1448.10
Jul-25-2019,1443.10
Jul-24-2019,1452.10
Jul-23-2019,1450.00
Jul-22-2019,1455.20
Jul-19-2019,1454.70
Jul-18-2019,1456.40
Jul-17-2019,1451.60
Jul-16-2019,1439.30
Jul-15-2019,1441.50
Jul-12-2019,1440.20
Jul-11-2019,1434.60
Jul-10-2019,1439.90
Jul-09-2019,1427.60
Jul-08-2019,1426.80
Jul-05-2019,1426.30
Jul-04-2019,1423.55
Jul-03-2019,1446.10
Jul-02-2019,1433.10
Jul-01-2019,1413.90
Jun-28-2019,1437.50
Jun-27-2019,1435.40
Jun-26-2019,1438.60
Jun-25-2019,1441.80
Jun-24-2019,1441.40
Jun-21-2019,1423.40
Jun-20-2019,1420.30
Jun-19-2019,1373.50
Jun-18-2019,1375.50
Jun-17-2019,1367.70
Jun-14-2019,1369.60
Jun-13-2019,1368.80
Jun-12-2019,1362.30
Jun-11-2019,1356.90
Jun-10-2019,1354.80
Jun-07-2019,1370.40
Jun-06-2019,1366.90
Jun-05-2019,1358.80
Jun-04-2019,1354.60
Jun-03-2019,1353.40
May-31-2019,1337.90
May-30-2019,1319.90
May-29-2019,1313.50
May-28-2019,1310.20
May-27-2019,1284.95
May-26-2019,1284.15
May-24-2019,1316.90
May-23-2019,1318.60
May-22-2019,1308.10
May-21-2019,1306.90
May-20-2019,1311.00
May-17-2019,1309.00
May-16-2019,1319.60
May-15-2019,1330.70
May-14-2019,1329.60
May-13-2019,1335.50
May-10-2019,1322.30
May-09-2019,1320.20
May-08-2019,1316.50
May-07-2019,1320.90
May-06-2019,1319.10
May-03-2019,1316.80
May-02-2019,1307.30
May-01-2019,1319.30
Apr-30-2019,1320.70
Apr-29-2019,1316.60
Apr-26-2019,1324.20
Apr-25-2019,1315.20
Apr-24-2019,1314.90
Apr-23-2019,1308.70
Apr-22-2019,1313.40
Apr-19-2019,1277.90
Apr-18-2019,1311.80
Apr-17-2019,1312.50
Apr-16-2019,1313.20
Apr-15-2019,1327.50
Apr-12-2019,1331.40
Apr-11-2019,1328.90
Apr-10-2019,1349.40
Apr-09-2019,1343.90
Apr-08-2019,1337.40
Apr-05-2019,1331.10
Apr-04-2019,1329.50
Apr-03-2019,1330.60
Apr-02-2019,1330.70
Apr-01-2019,1329.50
Mar-29-2019,1333.50
Mar-28-2019,1329.90
Mar-27-2019,1351.30
Mar-26-2019,1356.30
Mar-25-2019,1363.90
Mar-22-2019,1353.80
Mar-21-2019,1349.00
Mar-20-2019,1343.50
Mar-19-2019,1348.70
Mar-18-2019,1343.40
Mar-15-2019,1344.60
Mar-14-2019,1336.90
Mar-13-2019,1351.40
Mar-12-2019,1339.90
Mar-11-2019,1333.30
Mar-08-2019,1341.80
Mar-07-2019,1328.20
Mar-06-2019,1329.80
Mar-05-2019,1326.80
Mar-04-2019,1329.60
Mar-01-2019,1341.60
Feb-28-2019,1358.60
Feb-27-2019,1363.80
Feb-26-2019,1371.20
Feb-25-2019,1372.20
Feb-22-2019,1375.70
Feb-21-2019,1370.40
Feb-20-2019,1390.80
Feb-19-2019,1387.80
Feb-18-2019,1329.55
Feb-17-2019,1324.25
Feb-15-2019,1365.10
Feb-14-2019,1357.10
Feb-13-2019,1358.50
Feb-12-2019,1357.10
Feb-11-2019,1355.10
Feb-08-2019,1361.70
Feb-07-2019,1357.50
Feb-06-2019,1357.70
Feb-05-2019,1362.50
Feb-04-2019,1362.20
Feb-01-2019,1365.00
Jan-31-2019,1367.90
Jan-30-2019,1359.10
Jan-29-2019,1358.70
Jan-28-2019,1352.90
Jan-25-2019,1347.10
Jan-24-2019,1328.70
Jan-23-2019,1333.10
Jan-22-2019,1332.20
Jan-21-2019,1279.05
Jan-20-2019,1282.05
Jan-18-2019,1331.90
Jan-17-2019,1341.70
Jan-16-2019,1343.10
Jan-15-2019,1337.50
Jan-14-2019,1341.00
Jan-11-2019,1339.20
Jan-10-2019,1336.80
Jan-09-2019,1341.10
Jan-08-2019,1334.90
Jan-07-2019,1339.00
Jan-04-2019,1334.80
Jan-03-2019,1343.60
Jan-02-2019,1332.80
Jan-01-2019,1283.35
Dec-31-2018,1330.20
Dec-28-2018,1331.40
Dec-27-2018,1329.60
Dec-26-2018,1321.40
Dec-25-2018,1270.75
Dec-24-2018,1320.10
Dec-21-2018,1306.20
Dec-20-2018,1316.20
Dec-19-2018,1304.40
Dec-18-2018,1301.60
Dec-17-2018,1300.50
Dec-14-2018,1290.10
Dec-13-2018,1296.30
Dec-12-2018,1298.90
Dec-11-2018,1296.00
Dec-10-2018,1297.90
Dec-07-2018,1301.90
Dec-06-2018,1292.60
Dec-05-2018,1291.70
Dec-04-2018,1295.70
Dec-03-2018,1288.50
Nov-30-2018,1274.80
Nov-29-2018,1279.10
Nov-28-2018,1278.50
Nov-27-2018,1268.60
Nov-26-2018,1277.90
Nov-23-2018,1278.20
Nov-22-2018,1228.00
Nov-21-2018,1282.90
Nov-20-2018,1275.70
Nov-19-2018,1279.80
Nov-16-2018,1277.20
Nov-15-2018,1269.90
Nov-14-2018,1264.40
Nov-13-2018,1255.80
Nov-12-2018,1257.90
Nov-09-2018,1263.30
Nov-08-2018,1280.30
Nov-07-2018,1283.80
Nov-06-2018,1281.40
Nov-05-2018,1287.40
Nov-02-2018,1288.30
Nov-01-2018,1293.20
Oct-31-2018,1269.20
Oct-30-2018,1279.90
Oct-29-2018,1282.10
Oct-26-2018,1290.70
Oct-25-2018,1287.40
Oct-24-2018,1286.20
Oct-23-2018,1292.20
Oct-22-2018,1280.00
Oct-19-2018,1284.00
Oct-18-2018,1285.30
Oct-17-2018,1282.10
Oct-16-2018,1286.00
Oct-15-2018,1285.60
Oct-12-2018,1276.60
Oct-11-2018,1282.60
Oct-10-2018,1248.00
Oct-09-2018,1246.40
Oct-08-2018,1243.50
Oct-05-2018,1260.80
Oct-04-2018,1256.10
Oct-03-2018,1257.30
Oct-02-2018,1261.30
Oct-01-2018,1245.60
Sep-28-2018,1249.90
Sep-27-2018,1241.00
Sep-26-2018,1253.00
Sep-25-2018,1259.40
Sep-24-2018,1258.60
Sep-21-2018,1255.50
Sep-20-2018,1265.60
Sep-19-2018,1262.70
Sep-18-2018,1256.90
Sep-17-2018,1259.60
Sep-14-2018,1255.00
Sep-13-2018,1262.20
Sep-12-2018,1265.10
Sep-11-2018,1256.00
Sep-10-2018,1253.40
Sep-07-2018,1253.90
Sep-06-2018,1257.50
Sep-05-2018,1254.40
Sep-04-2018,1252.00
Sep-03-2018,1206.30
Sep-02-2018,1204.90
Aug-31-2018,1259.50
Aug-30-2018,1257.90
Aug-29-2018,1265.10
Aug-28-2018,1268.20
Aug-27-2018,1269.80
Aug-24-2018,1266.80
Aug-23-2018,1247.00
Aug-22-2018,1257.20
Aug-21-2018,1253.90
Aug-20-2018,1248.60
